,rank,no_of_weeks,book,authors,publisher,description,date,author1,author2,nyt_name,good_reads_book,author_link,avg_rating,no_of_ratings,year,author_place,place,geometry.type,geometry.coordinates
0,1,New this week,TICK TOCK,James Patterson and Michael Ledwidge,"Little, Brown",The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,2011-02-13,James Patterson,Michael Ledwidge,TICK TOCK,"Tick Tock (Michael Bennett, #4)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.09,29129.0,2011,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
1,2,New this week,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf Doubleday,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.,2011-02-13,Stieg Larsson,,THE GIRL WITH THE DRAGON TATTOO,"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.16,3108073.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
2,3,New this week,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Knopf Doubleday,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",2011-02-13,Stieg Larsson,,THE GIRL WHO PLAYED WITH FIRE,"The Girl Who Played with Fire (Millennium, #2)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.25,909723.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
3,4,New this week,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",2011-02-13,Stieg Larsson,,THE GIRL WHO KICKED THE HORNET’S NEST,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.23,725317.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
4,5,New this week,WATER FOR ELEPHANTS,Sara Gruen,Algonquin,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus.",2011-02-13,Sara Gruen,,WATER FOR ELEPHANTS,Water for Elephants,https://www.goodreads.com/author/show/24556.Sara_Gruen?from_search=true&from_srp=true,4.11,1586438.0,2011,"Vancouver, Canada","Vancouver, Canada",Point,"[-123.1207375, 49.2827291]"
5,6,New this week,THE CONFESSION,John Grisham,Knopf Doubleday,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth.",2011-02-13,John Grisham,,THE CONFESSION,The Confession,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,3.9,71932.0,2011,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
6,7,New this week,CUTTING FOR STONE,Abraham Verghese,Knopf Doubleday,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",2011-02-13,Abraham Verghese,,,,,,,2011,,,,
7,8,New this week,MARRYING DAISY BELLAMY,Susan Wiggs,Harlequin,"A woman struggles for years to choose between two men. And then, one fateful day, the decision is made for her.",2011-02-13,Susan Wiggs,,MARRYING DAISY BELLAMY,Marrying Daisy Bellamy (Lakeshore Chronicles #8),https://www.goodreads.com/author/show/21155.Susan_Wiggs?from_search=true&from_srp=true,4.15,7423.0,2011,"Olean, The United States","Olean, The United States",Point,"[-78.42992699999999, 42.083639]"
8,9,New this week,THE HELP,Kathryn Stockett,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,2011-02-13,Kathryn Stockett,,THE HELP,The Help,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett?from_search=true&from_srp=true,4.47,2678112.0,2011,"Jackson, Mississippi, The United States","Jackson, Mississippi, The United States",Point,"[-90.1848103, 32.2987573]"
9,10,New this week,THE INNER CIRCLE,Brad Meltzer,Grand Central,An archivist discovers a book that once belonged to George Washington and conceals a deadly secret.,2011-02-13,Brad Meltzer,,THE INNER CIRCLE,"The Inner Circle (Culper Ring, #1)",https://www.goodreads.com/author/show/14610.Brad_Meltzer?from_search=true&from_srp=true,3.81,24531.0,2011,"Brooklyn, New York, The United States","Brooklyn, New York, The United States",Point,"[-73.9441579, 40.6781784]"
10,11,New this week,STRATEGIC MOVES,Stuart Woods,Penguin Group,"In the 19th Stone Barrington novel, the New York lawyer works with the C.I.A. to transport a fugitive.",2011-02-13,Stuart Woods,,STRATEGIC MOVES,"Strategic Moves (Stone Barrington, #19)",https://www.goodreads.com/author/show/3936.Stuart_Woods?from_search=true&from_srp=true,3.9,7004.0,2011,"Manchester, Georgia, The United States","Manchester, Georgia, The United States",Point,"[-84.6199251, 32.8598538]"
11,12,New this week,WILD MAN CREEK,Robyn Carr,Harlequin,"In Virgin River, a former Army pilot recuperating from a helicopter crash is drawn to a corporate executive searching for a simpler life.",2011-02-13,Robyn Carr,,WILD MAN CREEK,"Wild Man Creek (Virgin River, #12)",https://www.goodreads.com/author/show/107767.Robyn_Carr?from_search=true&from_srp=true,4.29,18274.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
12,13,New this week,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,Penguin Group,Familiar Clancy characters appear as an intelligence group tracks a vicious terrorist called the Emir.,2011-02-13,Tom Clancy with Grant Blackwood,,,,,,,2011,,,,
13,14,New this week,SHADOWFEVER,Karen Marie Moning,Random House,"Hunting for her sister’s murderer, MacKayla Lane is caught up in the struggle between humans and the Fae.",2011-02-13,Karen Marie Moning,,SHADOWFEVER,"Shadowfever (Fever, #5)",https://www.goodreads.com/author/show/48206.Karen_Marie_Moning?from_search=true&from_srp=true,4.39,107814.0,2011,"Cincinnati, Ohio, The United States","Cincinnati, Ohio, The United States",Point,"[-84.5120196, 39.1031182]"
14,15,New this week,ROOM,Emma Donoghue,"Little, Brown",The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.,2011-02-13,Emma Donoghue,,ROOM,Room,https://www.goodreads.com/author/show/23613.Emma_Donoghue?from_search=true&from_srp=true,4.07,795392.0,2011,"Dublin, Ireland","Dublin, Ireland",Point,"[-6.2603097, 53.3498053]"
15,1,2 weeks on the list,TICK TOCK,James Patterson and Michael Ledwidge,"Little, Brown",The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,2011-02-20,James Patterson,Michael Ledwidge,TICK TOCK,"Tick Tock (Michael Bennett, #4)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.09,29129.0,2011,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
16,2,2 weeks on the list,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf Doubleday,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.,2011-02-20,Stieg Larsson,,THE GIRL WITH THE DRAGON TATTOO,"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.16,3108073.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
17,3,2 weeks on the list,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Knopf Doubleday,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",2011-02-20,Stieg Larsson,,THE GIRL WHO PLAYED WITH FIRE,"The Girl Who Played with Fire (Millennium, #2)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.25,909723.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
18,4,2 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",2011-02-20,Stieg Larsson,,THE GIRL WHO KICKED THE HORNET’S NEST,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.23,725317.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
19,5,2 weeks on the list,WATER FOR ELEPHANTS,Sara Gruen,Algonquin,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus.",2011-02-20,Sara Gruen,,WATER FOR ELEPHANTS,Water for Elephants,https://www.goodreads.com/author/show/24556.Sara_Gruen?from_search=true&from_srp=true,4.11,1586438.0,2011,"Vancouver, Canada","Vancouver, Canada",Point,"[-123.1207375, 49.2827291]"
20,6,2 weeks on the list,CUTTING FOR STONE,Abraham Verghese,Knopf Doubleday,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",2011-02-20,Abraham Verghese,,,,,,,2011,,,,
21,7,2 weeks on the list,THE HELP,Kathryn Stockett,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,2011-02-20,Kathryn Stockett,,THE HELP,The Help,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett?from_search=true&from_srp=true,4.47,2678112.0,2011,"Jackson, Mississippi, The United States","Jackson, Mississippi, The United States",Point,"[-90.1848103, 32.2987573]"
22,8,2 weeks on the list,THE CONFESSION,John Grisham,Knopf Doubleday,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth.",2011-02-20,John Grisham,,THE CONFESSION,The Confession,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,3.9,71932.0,2011,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
23,9,2 weeks on the list,MARRYING DAISY BELLAMY,Susan Wiggs,Harlequin,"A woman struggles for years to choose between two men. And then, one fateful day, the decision is made for her.",2011-02-20,Susan Wiggs,,MARRYING DAISY BELLAMY,Marrying Daisy Bellamy (Lakeshore Chronicles #8),https://www.goodreads.com/author/show/21155.Susan_Wiggs?from_search=true&from_srp=true,4.15,7423.0,2011,"Olean, The United States","Olean, The United States",Point,"[-78.42992699999999, 42.083639]"
24,10,2 weeks on the list,THE INNER CIRCLE,Brad Meltzer,Grand Central,An archivist discovers a book that once belonged to George Washington and conceals a deadly secret.,2011-02-20,Brad Meltzer,,THE INNER CIRCLE,"The Inner Circle (Culper Ring, #1)",https://www.goodreads.com/author/show/14610.Brad_Meltzer?from_search=true&from_srp=true,3.81,24531.0,2011,"Brooklyn, New York, The United States","Brooklyn, New York, The United States",Point,"[-73.9441579, 40.6781784]"
25,11,2 weeks on the list,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,Penguin Group,Familiar Clancy characters appear as an intelligence group tracks a vicious terrorist called the Emir.,2011-02-20,Tom Clancy with Grant Blackwood,,,,,,,2011,,,,
26,12,2 weeks on the list,STRATEGIC MOVES,Stuart Woods,Penguin Group,"In the 19th Stone Barrington novel, the New York lawyer works with the C.I.A. to transport a fugitive.",2011-02-20,Stuart Woods,,STRATEGIC MOVES,"Strategic Moves (Stone Barrington, #19)",https://www.goodreads.com/author/show/3936.Stuart_Woods?from_search=true&from_srp=true,3.9,7004.0,2011,"Manchester, Georgia, The United States","Manchester, Georgia, The United States",Point,"[-84.6199251, 32.8598538]"
27,13,2 weeks on the list,ROOM,Emma Donoghue,"Little, Brown",The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.,2011-02-20,Emma Donoghue,,ROOM,Room,https://www.goodreads.com/author/show/23613.Emma_Donoghue?from_search=true&from_srp=true,4.07,795392.0,2011,"Dublin, Ireland","Dublin, Ireland",Point,"[-6.2603097, 53.3498053]"
28,14,New this week,FATAL ERROR,J.A. Jance,Simon & Schuster,"After the murder of a cyber-sociopath, Ali Reynolds is drawn into a web of online intrigue.",2011-02-20,J.A. Jance,,FATAL ERROR,"Fatal Error (Ali Reynolds, #6)",https://www.goodreads.com/author/show/3453636.J_A_Jance?from_search=true&from_srp=true,3.96,6114.0,2011,"South Dakota, The United States","South Dakota, The United States",Point,"[-99.9018131, 43.9695148]"
29,15,2 weeks on the list,WILD MAN CREEK,Robyn Carr,Harlequin,"In Virgin River, a former Army pilot recuperating from a helicopter crash is drawn to a corporate executive searching for a simpler life.",2011-02-20,Robyn Carr,,WILD MAN CREEK,"Wild Man Creek (Virgin River, #12)",https://www.goodreads.com/author/show/107767.Robyn_Carr?from_search=true&from_srp=true,4.29,18274.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
30,1,3 weeks on the list,TICK TOCK,James Patterson and Michael Ledwidge,"Little, Brown",The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,2011-02-27,James Patterson,Michael Ledwidge,TICK TOCK,"Tick Tock (Michael Bennett, #4)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.09,29129.0,2011,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
31,2,New this week,ALONE,Lisa Gardner,Random House,A woman who survived a horrible childhood abduction may have tricked the Massachusetts police sniper Bobby Dodge into killing her husband.,2011-02-27,Lisa Gardner,,ALONE,"Alone (Detective D.D. Warren, #1)",https://www.goodreads.com/author/show/18282.Lisa_Gardner?from_search=true&from_srp=true,3.97,66059.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
32,3,3 weeks on the list,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf Doubleday,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.,2011-02-27,Stieg Larsson,,THE GIRL WITH THE DRAGON TATTOO,"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.16,3108073.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
33,4,New this week,A DISCOVERY OF WITCHES,Deborah Harkness,Penguin Group,The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring.,2011-02-27,Deborah Harkness,,A DISCOVERY OF WITCHES,"A Discovery of Witches (All Souls, #1)",https://www.goodreads.com/author/show/3849415.Deborah_Harkness?from_search=true&from_srp=true,4.02,478703.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
34,5,3 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",2011-02-27,Stieg Larsson,,THE GIRL WHO KICKED THE HORNET’S NEST,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.23,725317.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
35,6,3 weeks on the list,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Knopf Doubleday,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",2011-02-27,Stieg Larsson,,THE GIRL WHO PLAYED WITH FIRE,"The Girl Who Played with Fire (Millennium, #2)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.25,909723.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
36,7,3 weeks on the list,WATER FOR ELEPHANTS,Sara Gruen,Algonquin,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus.",2011-02-27,Sara Gruen,,WATER FOR ELEPHANTS,Water for Elephants,https://www.goodreads.com/author/show/24556.Sara_Gruen?from_search=true&from_srp=true,4.11,1586438.0,2011,"Vancouver, Canada","Vancouver, Canada",Point,"[-123.1207375, 49.2827291]"
37,8,3 weeks on the list,CUTTING FOR STONE,Abraham Verghese,Knopf Doubleday,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",2011-02-27,Abraham Verghese,,,,,,,2011,,,,
38,9,3 weeks on the list,THE HELP,Kathryn Stockett,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,2011-02-27,Kathryn Stockett,,THE HELP,The Help,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett?from_search=true&from_srp=true,4.47,2678112.0,2011,"Jackson, Mississippi, The United States","Jackson, Mississippi, The United States",Point,"[-90.1848103, 32.2987573]"
39,10,3 weeks on the list,THE CONFESSION,John Grisham,Knopf Doubleday,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth.",2011-02-27,John Grisham,,THE CONFESSION,The Confession,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,3.9,71932.0,2011,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
40,11,3 weeks on the list,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,Penguin Group,Familiar Clancy characters appear as an intelligence group tracks a vicious terrorist called the Emir.,2011-02-27,Tom Clancy with Grant Blackwood,,,,,,,2011,,,,
41,12,3 weeks on the list,ROOM,Emma Donoghue,"Little, Brown",The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.,2011-02-27,Emma Donoghue,,ROOM,Room,https://www.goodreads.com/author/show/23613.Emma_Donoghue?from_search=true&from_srp=true,4.07,795392.0,2011,"Dublin, Ireland","Dublin, Ireland",Point,"[-6.2603097, 53.3498053]"
42,13,3 weeks on the list,MARRYING DAISY BELLAMY,Susan Wiggs,Harlequin,"A woman struggles for years to choose between two men. And then, one fateful day, the decision is made for her.",2011-02-27,Susan Wiggs,,MARRYING DAISY BELLAMY,Marrying Daisy Bellamy (Lakeshore Chronicles #8),https://www.goodreads.com/author/show/21155.Susan_Wiggs?from_search=true&from_srp=true,4.15,7423.0,2011,"Olean, The United States","Olean, The United States",Point,"[-78.42992699999999, 42.083639]"
43,14,New this week,THE SECRET SOLDIER,Alex Berenson,Penguin Group,"When the king of Saudi Arabia is threatened, the former C.I.A. operative John Wells goes undercover to help.",2011-02-27,Alex Berenson,,THE SECRET SOLDIER,"The Secret Soldier  (John Wells, #5)",https://www.goodreads.com/author/show/195905.Alex_Berenson?from_search=true&from_srp=true,4.16,8850.0,2011,,,,
44,15,3 weeks on the list,STRATEGIC MOVES,Stuart Woods,Penguin Group,"In the 19th Stone Barrington novel, the New York lawyer works with the C.I.A. to transport a fugitive.",2011-02-27,Stuart Woods,,STRATEGIC MOVES,"Strategic Moves (Stone Barrington, #19)",https://www.goodreads.com/author/show/3936.Stuart_Woods?from_search=true&from_srp=true,3.9,7004.0,2011,"Manchester, Georgia, The United States","Manchester, Georgia, The United States",Point,"[-84.6199251, 32.8598538]"
45,1,2 weeks on the list,ALONE,Lisa Gardner,Random House,A woman who survived a childhood abduction may have tricked the Massachusetts police sniper Bobby Dodge into killing her husband.,2011-03-06,Lisa Gardner,,ALONE,"Alone (Detective D.D. Warren, #1)",https://www.goodreads.com/author/show/18282.Lisa_Gardner?from_search=true&from_srp=true,3.97,66059.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
46,2,4 weeks on the list,TICK TOCK,James Patterson and Michael Ledwidge,"Little, Brown",The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,2011-03-06,James Patterson,Michael Ledwidge,TICK TOCK,"Tick Tock (Michael Bennett, #4)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.09,29129.0,2011,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
47,3,4 weeks on the list,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf Doubleday,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.,2011-03-06,Stieg Larsson,,THE GIRL WITH THE DRAGON TATTOO,"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.16,3108073.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
48,4,4 weeks on the list,WATER FOR ELEPHANTS,Sara Gruen,Algonquin,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus.",2011-03-06,Sara Gruen,,WATER FOR ELEPHANTS,Water for Elephants,https://www.goodreads.com/author/show/24556.Sara_Gruen?from_search=true&from_srp=true,4.11,1586438.0,2011,"Vancouver, Canada","Vancouver, Canada",Point,"[-123.1207375, 49.2827291]"
49,5,4 weeks on the list,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Knopf Doubleday,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",2011-03-06,Stieg Larsson,,THE GIRL WHO PLAYED WITH FIRE,"The Girl Who Played with Fire (Millennium, #2)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.25,909723.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
50,6,4 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",2011-03-06,Stieg Larsson,,THE GIRL WHO KICKED THE HORNET’S NEST,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.23,725317.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
51,7,2 weeks on the list,A DISCOVERY OF WITCHES,Deborah Harkness,Penguin Group,The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring.,2011-03-06,Deborah Harkness,,A DISCOVERY OF WITCHES,"A Discovery of Witches (All Souls, #1)",https://www.goodreads.com/author/show/3849415.Deborah_Harkness?from_search=true&from_srp=true,4.02,478703.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
52,8,New this week,DREAMS OF A DARK WARRIOR,Kresley Cole,Simon & Schuster,"Murdered before he could marry, a Celtic warrior seeks his beloved through eternity.",2011-03-06,Kresley Cole,,DREAMS OF A DARK WARRIOR,"Dreams of a Dark Warrior (Immortals After Dark, #10)",https://www.goodreads.com/author/show/4428.Kresley_Cole?from_search=true&from_srp=true,4.34,39422.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
53,9,4 weeks on the list,CUTTING FOR STONE,Abraham Verghese,Knopf Doubleday,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",2011-03-06,Abraham Verghese,,,,,,,2011,,,,
54,10,4 weeks on the list,THE HELP,Kathryn Stockett,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,2011-03-06,Kathryn Stockett,,THE HELP,The Help,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett?from_search=true&from_srp=true,4.47,2678112.0,2011,"Jackson, Mississippi, The United States","Jackson, Mississippi, The United States",Point,"[-90.1848103, 32.2987573]"
55,11,4 weeks on the list,THE CONFESSION,John Grisham,Knopf Doubleday,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth.",2011-03-06,John Grisham,,THE CONFESSION,The Confession,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,3.9,71932.0,2011,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
56,12,New this week,HER LAST LETTER,Nancy C. Johnson,Penwyck,A victim of a hit-and-run leaves behind a letter that throws her family into turmoil.,2011-03-06,Nancy C. Johnson,,HER LAST LETTER,Her Last Letter,https://www.goodreads.com/author/show/708993.Nancy_C_Johnson?from_search=true&from_srp=true,3.41,2979.0,2011,,,,
57,13,4 weeks on the list,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,Penguin Group,Familiar Clancy characters appear as an intelligence group tracks a vicious terrorist called the Emir.,2011-03-06,Tom Clancy with Grant Blackwood,,,,,,,2011,,,,
58,14,4 weeks on the list,ROOM,Emma Donoghue,"Little, Brown",The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.,2011-03-06,Emma Donoghue,,ROOM,Room,https://www.goodreads.com/author/show/23613.Emma_Donoghue?from_search=true&from_srp=true,4.07,795392.0,2011,"Dublin, Ireland","Dublin, Ireland",Point,"[-6.2603097, 53.3498053]"
59,15,New this week,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,Random House,A friendship between a Chinese-American boy and a Japanese-American girl in Seattle during World War II.,2011-03-06,Jamie Ford,,HOTEL ON THE CORNER OF BITTER AND SWEET,Hotel on the Corner of Bitter and Sweet,https://www.goodreads.com/author/show/1421619.Jamie_Ford?from_search=true&from_srp=true,4.04,296320.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
60,1,New this week,TREACHERY IN DEATH,J. D. Robb,Penguin Group,"Eve Dallas and her partner, Peabody, investigate a grocer’s murder.",2011-03-13,J. D. Robb,,,,,,,2011,,,,
61,2,3 weeks on the list,ALONE,Lisa Gardner,Random House,A woman who survived a childhood abduction may have tricked the Massachusetts police sniper Bobby Dodge into killing her husband.,2011-03-13,Lisa Gardner,,ALONE,"Alone (Detective D.D. Warren, #1)",https://www.goodreads.com/author/show/18282.Lisa_Gardner?from_search=true&from_srp=true,3.97,66059.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
62,3,5 weeks on the list,WATER FOR ELEPHANTS,Sara Gruen,Algonquin,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus.",2011-03-13,Sara Gruen,,WATER FOR ELEPHANTS,Water for Elephants,https://www.goodreads.com/author/show/24556.Sara_Gruen?from_search=true&from_srp=true,4.11,1586438.0,2011,"Vancouver, Canada","Vancouver, Canada",Point,"[-123.1207375, 49.2827291]"
63,4,New this week,PALE DEMON,Kim Harrison,HarperCollins,The witch Rachel Morgan has three days to clear her name; Book 9 in the Hollows series.,2011-03-13,Kim Harrison,,PALE DEMON,"Pale Demon (The Hollows, #9)",https://www.goodreads.com/author/show/17054.Kim_Harrison?from_search=true&from_srp=true,4.43,47700.0,2011,"Detroit, The United States","Detroit, The United States",Point,"[-83.0457538, 42.331427]"
64,5,5 weeks on the list,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf Doubleday,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier.,2011-03-13,Stieg Larsson,,THE GIRL WITH THE DRAGON TATTOO,"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.16,3108073.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
65,6,5 weeks on the list,TICK TOCK,James Patterson and Michael Ledwidge,"Little, Brown",The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,2011-03-13,James Patterson,Michael Ledwidge,TICK TOCK,"Tick Tock (Michael Bennett, #4)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.09,29129.0,2011,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
