,rank,no_of_weeks,book,authors,publisher,description,date,author1,author2,nyt_name,good_reads_book,author_link,avg_rating,no_of_ratings,year,author_place,place,geometry.type,geometry.coordinates
2614,5,2 weeks on the list,WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,Delacorte,"In the eighth Outlander time-traveling romance, Jamie Fraser and his family face challenges in the 18th and 20th centuries.",2014-07-06,Diana Gabaldon,,WRITTEN IN MY OWN HEART'S BLOOD,"Written in My Own Heart's Blood (Outlander, #8)",https://www.goodreads.com/author/show/3617.Diana_Gabaldon?from_search=true&from_srp=true,4.55,123784.0,2014,"Williams, Arizona, The United States","Williams, Arizona, The United States",Point,"[-112.1910031, 35.24945659999999]"
2615,6,35 weeks on the list,THE GOLDFINCH,Donna Tartt,"Little, Brown","A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.",2014-07-06,Donna Tartt,,THE GOLDFINCH,The Goldfinch,https://www.goodreads.com/author/show/8719.Donna_Tartt?from_search=true&from_srp=true,3.94,900815.0,2014,"Greenwood, Mississippi, The United States","Greenwood, Mississippi, The United States",Point,"[-90.1795281, 33.5162315]"
2616,7,82 weeks on the list,GONE GIRL,Gillian Flynn,Crown,A woman disappears on the day of her fifth anniversary; is her husband a killer?,2014-07-06,Gillian Flynn,,GONE GIRL,Gone Girl,https://www.goodreads.com/author/show/2383.Gillian_Flynn?from_search=true&from_srp=true,4.13,2983396.0,2014,"Kansas City, MO, The United States","Kansas City, MO, The United States",Point,"[-94.5785667, 39.0997265]"
2617,8,New this week,SHATTERED,Kevin Hearne,Del Rey,Atticus O’Sullivan is no longer the only Druid to walk the earth; part of the Iron Druid Chronicles series.,2014-07-06,Kevin Hearne,,,,,,,2014,,,,
2618,9,44 weeks on the list,A GAME OF THRONES,George R.R. Martin,Bantam,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering.",2014-07-06,George R.R. Martin,,A GAME OF THRONES,"A Game of Thrones (A Song of Ice and Fire, #1)",https://www.goodreads.com/author/show/346732.George_R_R_Martin?from_search=true&from_srp=true,4.44,2427511.0,2014,"Bayonne, New Jersey, The United States","Bayonne, New Jersey, The United States",Point,"[-74.1143091, 40.6687141]"
2619,10,22 weeks on the list,ORPHAN TRAIN,Christina Baker Kline,Morrow/HarperCollins,A historical novel about orphans swept off the streets of New York and sent to the Midwest in the 1920s.,2014-07-06,Christina Baker Kline,,ORPHAN TRAIN,Orphan Train,https://www.goodreads.com/author/show/157146.Christina_Baker_Kline?from_search=true&from_srp=true,4.19,435287.0,2014,"Cambridge, The United Kingdom","Cambridge, The United Kingdom",Point,"[0.1312729, 52.1950788]"
2620,11,7 weeks on the list,UNLUCKY 13,James Patterson and Maxine Paetro,"Little, Brown","With the return of a killer who was presumed dead, the San Francisco detective Lindsay Boxer and the Women’s Murder Club take action.",2014-07-06,James Patterson,Maxine Paetro,UNLUCKY 13,"Unlucky 13 (Women's Murder Club, #13)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.06,42353.0,2014,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
2621,12,New this week,HARDLINE,Meredith Wild,Meredith Wild,"As the bonds between Blake Landon and Erica Hathaway grow tighter, their enemies close in; Book 3 of the Hacker series.",2014-07-06,Meredith Wild,,HARDLINE,"Hardline (Hacker, #3)",https://www.goodreads.com/author/show/7190965.Meredith_Wild?from_search=true&from_srp=true,4.22,22887.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
2622,13,9 weeks on the list,THE TARGET,David Baldacci,Grand Central,"As the government hit man Will Robie and his partner, Jessica Reel, prepare for a mission, they face a new adversary.",2014-07-06,David Baldacci,,THE TARGET,"The Target (Will Robie, #3)",https://www.goodreads.com/author/show/9291.David_Baldacci?from_search=true&from_srp=true,4.14,54943.0,2014,"Richmond, Virginia, The United States","Richmond, Virginia, The United States",Point,"[-77.4360481, 37.5407246]"
2623,14,42 weeks on the list,THE HUSBAND'S SECRET,Liane Moriarty,Amy Einhorn/Putnam,A woman’s life is upended when she discovers a letter from her husband she was not yet meant to read.,2014-07-06,Liane Moriarty,,THE HUSBAND'S SECRET,The Husband's Secret,https://www.goodreads.com/author/show/322069.Liane_Moriarty?from_search=true&from_srp=true,3.95,658846.0,2014,"Sydney, Australia","Sydney, Australia",Point,"[151.2092955, -33.8688197]"
2624,15,New this week,THE ARRANGEMENT 15,H. M. Ward,H. M. Ward,The Ferro Family erotic series continues. ,2014-07-06,H. M. Ward,,,,,,,2014,,,,
2625,1,New this week,INVISIBLE,James Patterson and David Ellis,"Little, Brown","Searching for her sister’s killer, a former F.B.I. researcher finds a link between scores of unsolved cases.",2014-07-13,James Patterson,David Ellis,,,,,,2014,,,,
2626,2,2 weeks on the list,TOP SECRET TWENTY-ONE,Janet Evanovich,Bantam,The New Jersey bounty hunter Stephanie Plum pursues a dealer who sells more than used cars.,2014-07-13,Janet Evanovich,,TOP SECRET TWENTY-ONE,"Top Secret Twenty-One (Stephanie Plum, #21)",https://www.goodreads.com/author/show/2384.Janet_Evanovich?from_search=true&from_srp=true,3.89,60353.0,2014,"South River, New Jersey, The United States","South River, New Jersey, The United States",Point,"[-74.38598309999999, 40.446495]"
2627,3,New this week,THE PROMISE,Robyn Carr,Harlequin Mira,"Love blossoms between a widowed doctor in Thunder Point, Ore., and the physician’s assistant applying for a job at his clinic.",2014-07-13,Robyn Carr,,,,,,,2014,,,,
2628,4,2 weeks on the list,THE SILKWORM,Robert Galbraith,"Mulholland/Little, Brown","The private detective Cormoran Strike steps in when the author of a roman à clef set in literary London is murdered; by J. K. Rowling, writing pseudonymously.",2014-07-13,Robert Galbraith,,THE SILKWORM,"The Silkworm (Cormoran Strike, #2)",https://www.goodreads.com/author/show/383606.Robert_Galbraith?from_search=true&from_srp=true,4.05,262511.0,2014,"Yate, The United Kingdom","Yate, The United Kingdom",Point,"[-2.414323, 51.54158899999999]"
2629,5,New this week,WHEN DAY BREAKS,Maya Banks,Berkley,"Swanson, part of an elite, family-run task force, is called upon to protect a supermodel.",2014-07-13,Maya Banks,,WHEN DAY BREAKS,"When Day Breaks (KGI, #9)",https://www.goodreads.com/author/show/24978.Maya_Banks?from_search=true&from_srp=true,3.87,9590.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
2630,6,New this week,UNTIL WE TOUCH,Susan Mallery,Harlequin,"After a family tragedy, a P.R. executive keeps everyone in Fool’s Gold, Calif., at arm’s length. That includes the employee who has feelings for him.",2014-07-13,Susan Mallery,,UNTIL WE TOUCH,"Until We Touch (Fool's Gold, #15)",https://www.goodreads.com/author/show/8716.Susan_Mallery?from_search=true&from_srp=true,3.99,6743.0,2014,,,,
2631,7,36 weeks on the list,THE GOLDFINCH,Donna Tartt,"Little, Brown","A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.",2014-07-13,Donna Tartt,,THE GOLDFINCH,The Goldfinch,https://www.goodreads.com/author/show/8719.Donna_Tartt?from_search=true&from_srp=true,3.94,900815.0,2014,"Greenwood, Mississippi, The United States","Greenwood, Mississippi, The United States",Point,"[-90.1795281, 33.5162315]"
2632,8,4 weeks on the list,MR. MERCEDES,Stephen King,Scribner,"A driver plows into a crowd at a job fair, killing eight. The killer then taunts a suicidal ex-cop, who must stop a deadlier attack.",2014-07-13,Stephen King,,MR. MERCEDES,"Mr. Mercedes (Bill Hodges Trilogy, #1)",https://www.goodreads.com/author/show/3389.Stephen_King?from_search=true&from_srp=true,4.01,308050.0,2014,"Portland, Maine, The United States","Portland, Maine, The United States",Point,"[-70.2568189, 43.6590993]"
2633,9,2 weeks on the list,ALL FALL DOWN,Jennifer Weiner,Atria,A woman becomes addicted to pain medication.,2014-07-13,Jennifer Weiner,,ALL FALL DOWN,All Fall Down,https://www.goodreads.com/author/show/9212.Jennifer_Weiner?from_search=true&from_srp=true,3.64,48207.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
2634,10,83 weeks on the list,GONE GIRL,Gillian Flynn,Crown,A woman disappears on the day of her fifth anniversary; is her husband a killer?,2014-07-13,Gillian Flynn,,GONE GIRL,Gone Girl,https://www.goodreads.com/author/show/2383.Gillian_Flynn?from_search=true&from_srp=true,4.13,2983396.0,2014,"Kansas City, MO, The United States","Kansas City, MO, The United States",Point,"[-94.5785667, 39.0997265]"
2635,11,New this week,COP TOWN,Karin Slaughter,Delacorte,"In Atlanta in 1974, two women cops, both with something to prove, join in the search for a serial killer who is targeting the police.",2014-07-13,Karin Slaughter,,COP TOWN,Cop Town,https://www.goodreads.com/author/show/12504.Karin_Slaughter?from_search=true&from_srp=true,3.91,35041.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
2636,12,3 weeks on the list,WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,Delacorte,"In the eighth Outlander time-traveling romance, Jamie Fraser and his family face challenges in the 18th and 20th centuries.",2014-07-13,Diana Gabaldon,,WRITTEN IN MY OWN HEART'S BLOOD,"Written in My Own Heart's Blood (Outlander, #8)",https://www.goodreads.com/author/show/3617.Diana_Gabaldon?from_search=true&from_srp=true,4.55,123784.0,2014,"Williams, Arizona, The United States","Williams, Arizona, The United States",Point,"[-112.1910031, 35.24945659999999]"
2637,13,New this week,RUSTY NAILED,Alice Clayton,Gallery Books,Caroline and Simon negotiate their new relationship while house-sitting in Sausalito; Book 2 of the Cocktail series.,2014-07-13,Alice Clayton,,RUSTY NAILED,"Rusty Nailed (Cocktail, #2)",https://www.goodreads.com/author/show/3379564.Alice_Clayton?from_search=true&from_srp=true,3.93,33220.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
2638,14,23 weeks on the list,ORPHAN TRAIN,Christina Baker Kline,Morrow/HarperCollins,A historical novel about orphans swept off the streets of New York and sent to the Midwest in the 1920s.,2014-07-13,Christina Baker Kline,,ORPHAN TRAIN,Orphan Train,https://www.goodreads.com/author/show/157146.Christina_Baker_Kline?from_search=true&from_srp=true,4.19,435287.0,2014,"Cambridge, The United Kingdom","Cambridge, The United Kingdom",Point,"[0.1312729, 52.1950788]"
2639,15,New this week,KISS AND TELL,Fern Michaels,Zebra/Kensington,"When a string of anonymous emails suggests shady dealings at an assisted-living facility, the Sisterhood members Myra Rutledge and Annie de Silva are ready to beat a con artist at his own game.",2014-07-13,Fern Michaels,,KISS AND TELL,"Kiss and Tell (Sisterhood, #23)",https://www.goodreads.com/author/show/2609.Fern_Michaels?from_search=true&from_srp=true,4.3,3313.0,2014,,,,
